DBUID,db_name,area_sq_km,pop_total,pop_male,pop_female,pop_density_km2,density_tier,age_median,age_0_14,age_15_64,age_65_plus,pct_0_14,pct_65_plus,dependency_ratio,private_dwellings,occupied_dwellings,occupancy_rate,avg_household_size,apt_5plus,median_household_income,pct_low_income_lico,median_after_tax_income,avg_total_income
35431021010,35431021010,0.0992,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64000,8.4,20,59200
35090194017,35090194017,0.0119,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61600,2.8,5,58400
35090194019,35090194019,0.0128,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61600,2.8,5,58400
35204901006,35204901006,0.0017,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49200,32,35,45200
35204901007,35204901007,0.001,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49200,32,35,45200
35090195001,35090195001,0.0138,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70500,2,10,66000
35090195006,35090195006,0.0121,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70500,2,10,66000
35431022004,35431022004,0.0252,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60400,8,15,54800
35060511006,35060511006,0.016,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103000,4.8,5,90000
35060513002,35060513002,0.0242,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92000,9.6,0,82000
35204922016,35204922016,0.0028,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94000,8.9,75,78000
35060558001,35060558001,0.181,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,10.2,5,72000
35060559001,35060559001,0.0289,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,8.8,10,62400
35370739026,35370739026,7.4262,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,1.8,5,87000
35201321001,35201321001,0.0195,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106000,4.4,5,95000
35020135026,35020135026,0.0277,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35020135027,35020135027,0.0248,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35020135028,35020135028,0.0537,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35202897006,35202897006,0.0318,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440000,6,0,302000
35202899002,35202899002,0.0153,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212000,5.2,0,162000
35202899004,35202899004,0.0187,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212000,5.2,0,162000
35181204004,35181204004,0.0117,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124000,1.2,0,108000
35202901005,35202901005,0.0117,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000,7.6,5,112000
35202904001,35202904001,0.0204,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137000,6.8,0,113000
35202904002,35202904002,0.0224,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137000,6.8,0,113000
35201379002,35201379002,0.0429,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93000,6.4,10,80000
35191279014,35191279014,0.0387,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131000,3.5,5,113000
35202797001,35202797001,0.0362,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196000,2.4,5,144000
35202798002,35202798002,0.0279,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138000,4.8,5,114000
35191280018,35191280018,0.0136,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137000,3.3,20,118000
35191280021,35191280021,0.0136,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137000,3.3,20,118000
35100313008,35100313008,13.7919,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125000,0.6,0,105000
35202801001,35202801001,0.0341,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114000,6.2,10,93000
35202801002,35202801002,0.0217,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114000,6.2,10,93000
35202905002,35202905002,0.0214,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324000,2.8,0,242000
35202805001,35202805001,0.0435,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92000,10.4,15,77500
35202905003,35202905003,0.0213,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324000,2.8,0,242000
35202807001,35202807001,0.0145,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,10,20,84000
35202807004,35202807004,0.0182,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,10,20,84000
35202807012,35202807012,0.0262,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,10,20,84000
35202808001,35202808001,0.0194,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95000,9.6,10,85000
35202808002,35202808002,0.0259,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95000,9.6,10,85000
35202808004,35202808004,0.0103,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95000,9.6,10,85000
35190898001,35190898001,0.0312,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71500,10.8,10,64000
35202819004,35202819004,0.0055,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71500,15.9,25,64500
35280264050,35280264050,1.5591,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,0.8,10,71000
35201398001,35201398001,0.0065,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91000,8,0,82000
35202820006,35202820006,0.0031,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66500,23.5,60,56400
35202820010,35202820010,0.0143,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66500,23.5,60,56400
35202821003,35202821003,0.0264,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,11.8,20,65500
35300166004,35300166004,0.0022,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87000,7.4,5,76000
35202840002,35202840002,0.0703,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35300348004,35300348004,0.0131,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78000,6,10,70000
35600320012,35600320012,2.9706,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77000,4,0,69000
35202843001,35202843001,0.0254,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57200,19,10,51200
35280241005,35280241005,0.0203,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000,NA,0,117000
35202907003,35202907003,0.0187,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,5.2,10,71000
35202912001,35202912001,0.0229,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,6.4,10,99000
35202884005,35202884005,0.0242,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368000,7.2,0,266000
35202887002,35202887002,0.0168,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,8.8,0,98000
35202887003,35202887003,0.0228,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,8.8,0,98000
35202887004,35202887004,0.0205,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119000,8.8,0,98000
35202888002,35202888002,0.02,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258000,7.6,0,190000
35202888004,35202888004,0.0236,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258000,7.6,0,190000
35202889002,35202889002,0.0203,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104000,8,10,85000
35420329004,35420329004,0.0012,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67500,1.2,5,62000
35202889004,35202889004,0.0126,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104000,8,10,85000
35060719003,35060719003,0.0333,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136000,NA,5,113000
35202893003,35202893003,0.027,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69500,11.2,15,61600
35060663016,35060663016,0.0179,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121000,4.2,10,104000
35202893004,35202893004,0.0144,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69500,11.2,15,61600
35280256003,35280256003,0.0176,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47200,2.8,15,43600
35280257003,35280257003,0.0394,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37600,8.5,25,35600
