ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,018,"0,00",DUVAL Jean,Indépendant,0,126,8,134
11,11-Sault-au-Récollet,018,"0,00",HU Fang,Indépendant,2,126,8,134
11,11-Sault-au-Récollet,018,"0,00",LE ROUGETEL Katy,Indépendant,0,126,8,134
11,11-Sault-au-Récollet,018,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,8,126,8,134
11,11-Sault-au-Récollet,018,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,44,126,8,134
11,11-Sault-au-Récollet,018,"0,00",KACOU Jean-François,Futur Montréal,4,126,8,134
11,11-Sault-au-Récollet,018,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,58,126,8,134
11,11-Sault-au-Récollet,018,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,10,126,8,134
11,11-Sault-au-Récollet,019,"0,00",DUVAL Jean,Indépendant,0,149,5,154
11,11-Sault-au-Récollet,019,"0,00",HU Fang,Indépendant,1,149,5,154
11,11-Sault-au-Récollet,019,"0,00",LE ROUGETEL Katy,Indépendant,0,149,5,154
11,11-Sault-au-Récollet,019,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,13,149,5,154
11,11-Sault-au-Récollet,019,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,58,149,5,154
11,11-Sault-au-Récollet,019,"0,00",KACOU Jean-François,Futur Montréal,5,149,5,154
11,11-Sault-au-Récollet,019,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,68,149,5,154
11,11-Sault-au-Récollet,019,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,4,149,5,154
11,11-Sault-au-Récollet,002,"0,00",DUVAL Jean,Indépendant,0,212,1,213
11,11-Sault-au-Récollet,002,"0,00",HU Fang,Indépendant,0,212,1,213
11,11-Sault-au-Récollet,002,"0,00",LE ROUGETEL Katy,Indépendant,2,212,1,213
11,11-Sault-au-Récollet,002,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,13,212,1,213
11,11-Sault-au-Récollet,002,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,70,212,1,213
11,11-Sault-au-Récollet,002,"0,00",KACOU Jean-François,Futur Montréal,6,212,1,213
11,11-Sault-au-Récollet,002,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,110,212,1,213
11,11-Sault-au-Récollet,002,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,11,212,1,213
11,11-Sault-au-Récollet,020,"0,00",DUVAL Jean,Indépendant,0,126,4,130
11,11-Sault-au-Récollet,020,"0,00",HU Fang,Indépendant,0,126,4,130
11,11-Sault-au-Récollet,020,"0,00",LE ROUGETEL Katy,Indépendant,2,126,4,130
11,11-Sault-au-Récollet,020,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,21,126,4,130
11,11-Sault-au-Récollet,020,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,49,126,4,130
11,11-Sault-au-Récollet,020,"0,00",KACOU Jean-François,Futur Montréal,5,126,4,130
11,11-Sault-au-Récollet,020,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,40,126,4,130
11,11-Sault-au-Récollet,020,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,9,126,4,130
11,11-Sault-au-Récollet,021,"0,00",DUVAL Jean,Indépendant,2,114,5,119
11,11-Sault-au-Récollet,021,"0,00",HU Fang,Indépendant,0,114,5,119
11,11-Sault-au-Récollet,021,"0,00",LE ROUGETEL Katy,Indépendant,0,114,5,119
11,11-Sault-au-Récollet,021,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,28,114,5,119
11,11-Sault-au-Récollet,021,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,49,114,5,119
11,11-Sault-au-Récollet,021,"0,00",KACOU Jean-François,Futur Montréal,4,114,5,119
11,11-Sault-au-Récollet,021,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,27,114,5,119
11,11-Sault-au-Récollet,021,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,4,114,5,119
11,11-Sault-au-Récollet,022,"0,00",DUVAL Jean,Indépendant,9,87,1,88
